gene,vpcells_localization,hpa_localization,reactome_pathways,source
ERCC3,Nucleoplasm,"Nucleoplasm, Vesicles",Nucleotide_Excision_Repair,Reactome
EZH2,Nucleoplasm,Nucleoplasm,Cellular_Senescence; Chromatin_modifying_enzymes,Reactome
GPS2,Nucleoplasm,Nucleoplasm,Chromatin_modifying_enzymes,Reactome
H3-3A,Nucleoplasm,Nucleoplasm,Cellular_Senescence,Reactome
HAT1,Nucleoplasm,Nucleoplasm,Chromatin_modifying_enzymes,Reactome
HCFC1,Nucleoplasm,Nucleoplasm,Chromatin_modifying_enzymes,Reactome
HDAC1,Nucleoplasm,Nucleoplasm,Chromatin_modifying_enzymes,Reactome
ING3,"Cytosol, Nucleoplasm",Nucleoplasm,Chromatin_modifying_enzymes,Reactome
INO80B,"Cytosol, Nucleoplasm","Nuclear speckles, Nucleoli, Nucleoplasm",Nucleotide_Excision_Repair,Reactome
JAK2,Plasma membrane,"Nucleoplasm, Plasma membrane",Chromatin_modifying_enzymes,Reactome
KAT2A,Vesicles,NA,Chromatin_modifying_enzymes,Reactome
KAT5,Nucleoplasm,"Cytosol, Nucleoplasm, Vesicles",Cell_Cycle_Checkpoints; Cellular_Senescence; Chromatin_modifying_enzymes; DNA_Double-Strand_Break_Repair,Reactome
KDM5C,"Cytosol, Nucleoplasm","Cytosol, Nucleoplasm",Chromatin_modifying_enzymes,Reactome
KDM6A,Cytosol,"Nucleoli, Nucleoplasm",Chromatin_modifying_enzymes,Reactome
KMT2A,Nucleoplasm,"Cytosol, Nucleoplasm",Chromatin_modifying_enzymes,Reactome
KMT2B,Vesicles,"Cytosol, Nucleoplasm",Chromatin_modifying_enzymes,Reactome
KMT2D,Vesicles,"Cytosol, Nucleoplasm, Plasma Membrane",Chromatin_modifying_enzymes,Reactome
KNTC1,Cytosol,"Cytosol, Plasma membrane",Cell_Cycle_Checkpoints,Reactome
LIG3,Vesicles,Nucleoplasm,Base_Excision_Repair; DNA_Double-Strand_Break_Repair; Nucleotide_Excision_Repair,Reactome
MAD2L2,Nucleoplasm,Nucleoplasm,DNA_Damage_Bypass,Reactome
